ID,Company_Size,Job_Position,Industry,Strategic_BI_Availability,Strategic_BI_Alternatives,Strategic_BI_Alignment,Tactical_BI_Availability,Tactical_BI_Resource_Alloc,Tactical_BI_Data_Decisions,Operational_BI_Availability,Operational_BI_Agility,Operational_BI_Quality,BI_Improves_Decisions,BI_Speed_Accuracy,BI_Data_Inform,BI_Alternative_Solutions,BI_Cost_Barrier,BI_Training_Limit,BI_Flexibility_Issue,BI_Data_Integration_Issue
1.00,2,5,4,5,5,5,3,4,4,4,3,5,5,5,4,4,5,5,3,3
2.00,2,4,3,2,2,3,3,4,4,5,5,5,4,5,5,4,5,3,3,3
3.00,1,5,2,4,4,3,3,4,4,2,4,4,4,3,2,3,3,4,2,3
4.00,2,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,1,3
5.00,3,3,5,2,4,4,3,3,4,2,4,4,4,4,5,4,1,5,3,5
6.00,3,3,3,3,3,3,2,3,4,3,3,3,2,3,2,3,3,3,3,2
7.00,1,3,5,5,5,5,4,4,5,3,4,5,5,4,5,4,5,5,3,2
8.00,1,4,4,3,4,5,4,5,3,2,3,4,4,3,4,5,2,2,3,4
9.00,2,2,3,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,3
10.00,2,3,3,4,4,3,4,4,4,5,5,5,4,4,5,4,4,4,2,2
11.00,2,4,3,4,3,3,4,4,4,5,4,4,4,5,5,3,4,4,4,3
12.00,2,2,2,4,4,5,4,3,3,5,5,5,5,5,5,5,3,3,3,3
13.00,2,3,3,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,2,3
14.00,1,3,3,3,4,3,5,3,2,4,3,3,4,3,2,4,3,4,3,3
15.00,2,3,3,4,5,4,4,4,4,4,4,4,5,5,5,5,4,3,2,3
16.00,3,2,3,4,4,3,4,4,5,3,5,4,5,5,5,4,4,5,3,3
17.00,2,1,2,4,4,3,4,4,4,4,5,5,5,5,5,5,3,5,2,3
18.00,2,2,1,4,4,4,4,3,3,4,4,4,5,5,5,5,3,4,4,4
19.00,2,3,2,4,4,4,4,4,4,4,5,5,4,5,5,5,4,4,1,3
20.00,1,5,3,2,3,3,4,3,3,2,3,3,3,3,3,3,2,4,2,2
21.00,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,2,3
22.00,2,2,5,2,2,5,2,3,4,1,5,5,3,2,3,2,2,4,2,2
23.00,2,1,4,5,5,5,5,4,1,5,5,4,5,4,4,5,5,2,1,3
24.00,1,5,2,3,4,3,4,4,4,4,3,3,4,4,4,4,3,4,3,3
25.00,1,1,4,3,3,3,3,2,3,4,4,4,4,4,4,3,3,3,3,3
26.00,3,5,5,3,4,3,4,5,5,3,3,4,4,4,4,4,3,3,4,4
27.00,2,2,2,4,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3
28.00,2,5,5,4,3,4,4,5,4,3,3,4,3,4,3,3,4,3,3,4
29.00,2,4,4,4,5,3,3,4,4,4,4,3,3,5,4,3,4,4,5,4
30.00,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3
31.00,1,1,2,1,1,4,3,3,4,2,3,3,2,3,3,3,3,5,3,3
32.00,2,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,3,3
33.00,3,5,5,3,2,3,2,3,3,2,3,1,2,3,3,3,1,5,4,4
34.00,1,4,1,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,4
35.00,1,1,5,2,1,1,1,1,1,1,1,2,2,2,1,2,4,2,1,1
36.00,3,5,3,3,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3
37.00,1,5,3,1,1,1,1,1,1,1,3,2,2,1,1,2,5,5,5,4
38.00,3,5,2,3,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
39.00,1,5,3,2,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4
40.00,3,5,5,4,4,3,2,4,3,4,3,3,3,4,4,2,4,5,4,5
41.00,3,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2
42.00,1,5,2,3,4,4,4,3,3,3,3,3,4,5,5,5,5,3,2,4
43.00,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
44.00,1,5,3,4,4,5,2,3,4,3,4,4,4,4,5,4,2,3,4,3
45.00,3,5,3,1,4,3,2,3,5,4,4,1,4,2,4,2,1,4,2,4
46.00,3,5,3,1,4,4,3,4,4,3,2,1,3,4,5,5,1,4,2,4
47.00,3,5,2,3,3,4,3,2,2,3,3,4,3,3,4,3,3,3,3,3
48.00,2,5,4,4,4,4,3,4,2,3,4,2,3,3,4,3,2,5,4,3
49.00,3,5,2,3,3,4,4,3,4,4,4,3,3,3,3,3,2,4,4,4
50.00,3,5,3,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5
51.00,3,5,5,4,3,3,3,4,3,4,4,4,3,3,5,4,3,5,3,4
52.00,3,5,3,5,4,5,4,5,5,5,5,4,5,5,5,5,3,4,2,3
53.00,3,3,3,5,3,4,3,2,4,3,3,3,4,3,4,2,4,5,5,5
54.00,1,5,3,2,2,3,2,3,3,3,2,3,3,2,3,3,2,2,2,2
55.00,1,5,5,3,3,4,2,4,4,4,5,3,4,5,5,3,2,4,4,3
56.00,1,3,1,3,2,4,3,2,3,3,4,4,3,4,5,4,4,5,4,3
57.00,3,5,5,2,2,3,3,3,3,3,3,3,2,2,3,4,3,2,3,3
58.00,1,4,5,4,3,3,4,3,3,5,4,4,3,5,4,4,2,2,3,2
59.00,1,5,3,4,4,3,4,5,3,5,4,4,3,4,5,3,2,2,5,1
60.00,2,5,2,5,4,4,4,4,3,3,4,4,5,5,2,2,4,5,4,5
61.00,1,1,3,4,4,5,4,4,4,4,4,4,4,3,4,4,3,3,2,4
62.00,1,3,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,3
63.00,1,3,5,3,2,3,4,4,3,2,4,4,3,4,4,5,3,4,3,4
64.00,2,3,3,4,4,4,4,5,5,4,5,5,4,4,4,4,5,4,4,3
65.00,3,2,4,3,3,4,3,5,4,5,5,4,5,4,5,4,5,5,4,5
66.00,1,5,3,1,2,2,3,3,3,3,3,3,3,4,3,4,5,5,3,3
67.00,2,5,5,3,4,4,3,4,4,4,4,4,4,5,4,4,3,4,3,3
68.00,3,3,1,4,2,2,4,2,5,5,4,4,5,4,3,3,1,4,2,4
69.00,1,4,2,4,4,5,4,3,4,4,3,4,4,5,5,5,4,4,2,2
70.00,3,3,1,4,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5
71.00,3,3,1,5,4,4,4,4,5,5,5,4,4,4,4,4,1,2,3,1
72.00,3,5,4,5,4,5,5,4,5,5,4,5,4,2,4,3,1,5,4,5
73.00,2,5,5,2,3,4,4,3,4,4,3,4,3,2,4,2,4,2,5,3
74.00,3,3,3,5,5,5,5,5,4,4,4,5,4,4,5,4,4,4,5,4
75.00,1,1,2,4,5,4,4,3,4,4,4,3,4,3,4,3,4,5,3,4
76.00,2,3,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4
77.00,3,2,3,4,4,3,3,4,4,4,5,4,4,5,4,3,2,4,4,4
78.00,3,5,2,2,1,1,2,1,2,3,3,2,1,2,2,2,4,4,3,4
79.00,1,5,2,3,4,4,2,3,4,3,4,4,4,3,4,2,3,4,3,3
80.00,1,5,5,4,4,3,4,4,4,4,2,5,2,2,3,3,5,5,4,4
81.00,1,1,1,3,3,3,3,3,3,3,3,3,3,3,4,2,2,5,2,5
82.00,1,5,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,2
83.00,3,5,3,2,2,3,4,3,3,5,4,4,2,2,3,4,2,1,3,3
84.00,3,3,2,3,5,4,4,3,5,4,5,3,3,2,2,3,4,3,5,4
85.00,3,2,3,4,5,3,2,4,5,4,4,4,5,4,4,3,4,4,5,3
86.00,1,5,2,4,3,5,3,4,3,4,4,4,3,3,4,3,4,4,3,4
87.00,3,4,1,3,4,4,4,4,4,5,5,5,4,4,4,3,5,5,3,4
88.00,1,2,5,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,3
89.00,2,5,2,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
90.00,1,1,1,4,4,4,2,4,3,4,4,4,3,5,3,4,4,4,3,2
91.00,3,5,5,4,4,4,4,4,5,5,3,4,4,5,4,4,3,3,3,3
92.00,2,3,3,4,4,4,4,5,4,4,5,4,4,4,5,4,4,4,4,4
93.00,2,4,2,5,3,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4
94.00,1,2,3,4,4,4,4,3,4,3,4,4,5,5,3,3,4,3,3,4
95.00,2,5,5,3,4,5,3,3,4,4,4,4,5,4,5,3,4,5,3,3
96.00,1,5,3,3,3,2,3,2,2,2,2,3,2,2,2,3,1,2,1,4
97.00,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
98.00,1,2,1,5,5,4,4,5,5,2,4,4,5,5,5,4,4,3,3,4
99.00,1,5,3,5,4,5,5,4,4,3,4,5,4,4,4,4,5,4,3,4
100.00,2,4,4,5,5,5,4,4,4,5,3,5,4,4,4,4,4,5,4,3
101.00,1,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
102.00,3,5,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4,5,4,4
103.00,1,5,2,4,5,4,5,4,5,5,4,4,4,5,5,3,3,5,2,3
104.00,1,4,4,4,5,4,5,5,5,4,4,5,4,5,4,5,4,5,5,5
105.00,3,5,3,3,4,4,4,4,5,4,5,4,5,4,4,5,5,4,5,5
106.00,1,2,3,4,4,4,5,4,4,5,5,4,4,5,5,4,4,5,2,4
107.00,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
108.00,1,5,3,5,4,4,5,5,5,4,4,5,5,4,5,5,5,4,5,5
109.00,3,5,5,4,5,5,5,4,4,5,4,4,4,4,5,4,3,4,3,4
110.00,3,5,4,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4
111.00,1,4,2,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4
112.00,3,1,1,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5
113.00,2,1,4,3,3,3,3,4,3,4,4,4,3,4,4,3,3,3,4,4
114.00,2,5,2,4,3,5,4,3,4,2,3,3,4,3,5,5,4,2,3,1
115.00,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,4
116.00,1,3,4,3,3,4,3,4,3,4,3,3,3,3,4,3,4,3,4,3
117.00,1,5,2,3,4,4,3,4,4,4,4,4,4,4,4,3,2,4,3,4
118.00,2,3,3,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4
119.00,1,3,2,5,4,4,4,3,5,2,4,4,4,2,4,3,3,2,4,4
120.00,2,4,2,4,5,4,4,4,4,3,3,4,3,4,4,3,2,3,5,4
121.00,3,5,2,4,4,3,3,3,4,4,3,3,4,3,4,4,3,4,4,3
122.00,2,3,1,4,5,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4
123.00,2,3,3,4,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3
124.00,3,5,2,4,5,5,3,4,4,4,4,5,4,4,4,4,5,5,3,4
125.00,2,2,2,3,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3
126.00,1,4,3,3,3,4,4,3,4,3,4,3,4,3,4,4,3,4,3,4
127.00,3,5,2,5,5,5,5,4,5,5,5,4,3,4,4,3,2,1,3,4
128.00,1,5,2,4,5,5,4,4,5,4,4,4,5,5,5,4,3,4,4,5
129.00,1,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3
130.00,3,5,4,4,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,4
131.00,3,5,2,3,3,4,4,4,3,4,2,4,4,2,4,2,3,3,4,2
132.00,1,5,3,2,4,5,3,5,4,4,4,4,4,4,4,4,4,5,3,3
133.00,2,5,2,1,3,3,4,4,4,3,3,3,4,3,2,5,3,4,3,3
134.00,1,4,2,5,3,4,4,3,4,4,4,4,4,3,4,3,4,5,5,5
135.00,1,5,4,4,3,3,2,4,4,4,5,4,4,4,4,4,4,2,4,4
136.00,1,4,2,4,4,4,4,5,4,5,4,5,4,4,4,3,3,3,2,2
137.00,3,5,1,3,3,4,3,4,4,4,4,4,5,4,5,3,4,4,4,4
138.00,1,2,3,4,4,2,4,3,4,4,4,4,4,5,5,4,4,4,3,3
139.00,3,5,3,4,4,5,3,4,5,4,3,4,5,3,4,3,4,5,3,2
140.00,1,5,2,5,3,4,5,3,4,2,4,2,4,5,4,5,4,3,4,5
141.00,2,3,3,4,4,4,5,4,4,4,5,5,4,5,5,5,4,4,4,4
142.00,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
143.00,2,3,4,5,5,5,5,5,5,4,5,4,5,4,4,4,4,4,4,4
144.00,1,4,2,4,4,3,5,4,5,5,4,3,5,4,3,4,4,4,4,5
145.00,1,4,3,4,4,5,4,5,5,4,5,4,5,5,5,5,3,2,3,5
146.00,2,3,4,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4
147.00,1,4,3,3,4,4,4,3,4,3,4,4,3,3,3,4,3,4,4,3
148.00,1,5,2,4,4,3,4,4,4,3,4,3,4,3,4,5,5,2,3,4
149.00,2,2,2,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3
150.00,1,3,3,3,2,3,3,4,3,2,4,2,4,3,3,2,2,3,3,2
151.00,2,4,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4
152.00,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4
153.00,2,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4
154.00,2,2,4,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4
155.00,2,3,3,3,3,4,4,4,4,4,3,4,3,3,4,3,3,3,3,3
156.00,3,5,2,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5
157.00,2,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4
158.00,2,5,5,5,5,5,5,4,4,4,4,5,4,4,4,5,4,4,4,4
159.00,2,4,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4
160.00,2,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,3
161.00,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,3,4
162.00,2,3,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3
163.00,2,1,4,4,4,4,4,4,3,4,4,5,4,4,4,4,3,3,4,4
164.00,2,4,3,3,4,3,4,3,4,4,4,4,3,3,3,3,3,3,3,3
165.00,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3
166.00,2,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
167.00,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3
168.00,1,5,5,3,4,3,2,3,3,3,3,2,2,1,4,3,3,5,5,3
169.00,2,5,5,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3
170.00,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
171.00,1,5,3,3,3,4,2,4,5,5,3,3,4,4,3,3,5,4,3,5
172.00,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,1,2
173.00,3,5,5,4,3,3,3,4,4,4,4,4,4,4,4,4,5,3,2,2
174.00,3,5,5,4,3,4,3,4,4,3,3,4,4,3,3,4,3,3,3,2
175.00,3,5,5,4,3,4,3,3,4,4,4,5,5,4,4,3,5,2,2,3
176.00,3,2,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4
177.00,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4
178.00,1,5,2,3,3,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3
